"요촌동","총인구수 (명)",10983
"신풍동","총인구수 (명)",12707
"검산동","총인구수 (명)",11899
"교월동","총인구수 (명)",6233
"완주군","총인구수 (명)",98584
"삼례읍","총인구수 (명)",21169
"봉동읍","총인구수 (명)",24337
"용진읍","총인구수 (명)",10452
"상관면","총인구수 (명)",4064
"이서면","총인구수 (명)",14877
"소양면","총인구수 (명)",5675
"구이면","총인구수 (명)",5507
"고산면","총인구수 (명)",4340
"비봉면","총인구수 (명)",1761
"운주면","총인구수 (명)",1890
"화산면","총인구수 (명)",2537
"동상면","총인구수 (명)",1033
"경천면","총인구수 (명)",942
"진안군","총인구수 (명)",24476
"진안읍","총인구수 (명)",9707
"용담면","총인구수 (명)",848
"안천면","총인구수 (명)",1050
"동향면","총인구수 (명)",1331
"상전면","총인구수 (명)",836
"백운면","총인구수 (명)",1905
"성수면","총인구수 (명)",1708
"마령면","총인구수 (명)",1720
"부귀면","총인구수 (명)",2863
"정천면","총인구수 (명)",1057
"주천면","총인구수 (명)",1451
"무주군","총인구수 (명)",23161
"무주읍","총인구수 (명)",9329
"무풍면","총인구수 (명)",2097
"설천면","총인구수 (명)",3827
"적상면","총인구수 (명)",2521
"안성면","총인구수 (명)",4027
"부남면","총인구수 (명)",1360
"장수군","총인구수 (명)",20882
"장수읍","총인구수 (명)",7007
"산서면","총인구수 (명)",1965
"번암면","총인구수 (명)",2185
"장계면","총인구수 (명)",4179
"천천면","총인구수 (명)",2008
"계남면","총인구수 (명)",2047
"계북면","총인구수 (명)",1491
"임실군","총인구수 (명)",25861
"임실읍","총인구수 (명)",7178
"청웅면","총인구수 (명)",1227
"운암면","총인구수 (명)",1567
"신평면","총인구수 (명)",1388
"성수면","총인구수 (명)",1550
"오수면","총인구수 (명)",3404
"신덕면","총인구수 (명)",1266
"삼계면","총인구수 (명)",1423
"관촌면","총인구수 (명)",3150
"강진면","총인구수 (명)",1395
"덕치면","총인구수 (명)",1145
"지사면","총인구수 (명)",1168
"순창군","총인구수 (명)",26806
"순창읍","총인구수 (명)",10351
"인계면","총인구수 (명)",1426
"동계면","총인구수 (명)",1913
"풍산면","총인구수 (명)",1627
"금과면","총인구수 (명)",1711
"팔덕면","총인구수 (명)",1392
"쌍치면","총인구수 (명)",1879
"복흥면","총인구수 (명)",2051
"적성면","총인구수 (명)",1240
"유등면","총인구수 (명)",995
"구림면","총인구수 (명)",2221
"고창군","총인구수 (명)",51628
"고창읍","총인구수 (명)",20589
"고수면","총인구수 (명)",2281
"아산면","총인구수 (명)",2501
"무장면","총인구수 (명)",2628
"공음면","총인구수 (명)",2312
"상하면","총인구수 (명)",2269
"해리면","총인구수 (명)",2533
"성송면","총인구수 (명)",1679
"대산면","총인구수 (명)",2998
"심원면","총인구수 (명)",2350
"흥덕면","총인구수 (명)",2928
"성내면","총인구수 (명)",1845
"신림면","총인구수 (명)",2055
"부안면","총인구수 (명)",2660
"부안군","총인구수 (명)",48917
"부안읍","총인구수 (명)",20424
"주산면","총인구수 (명)",1739
"동진면","총인구수 (명)",2573
"행안면","총인구수 (명)",2059
"계화면","총인구수 (명)",3046
"보안면","총인구수 (명)",2270
"변산면","총인구수 (명)",4177
"진서면","총인구수 (명)",2199
"백산면","총인구수 (명)",2373
"상서면","총인구수 (명)",2061
"하서면","총인구수 (명)",2444
"줄포면","총인구수 (명)",2463
"위도면","총인구수 (명)",1089
